Timestamp,Filename,Origin (Easting[m],Northing[m],Height[m]),Direction (Easting,Roll(X)[deg],Pitch(Y)[deg],Yaw(Z)[deg],Omega[deg],Phi[deg],Kappa[deg]
399332842.294712,240509_233404483.jpg,486247.625,7039339.904,411.964,-0.205676043,2.841209066,0.301707875,-101.874900632,179.711529706,2.839817825,101.889529504
399332848.848216,240509_233411049.jpg,486247.624,7039339.904,411.964,-0.205674245,2.840471477,0.304566881,-101.874798458,179.71448181,2.839684723,101.889422503
399332855.40172,240509_233417616.jpg,486247.624,7039339.903,411.966,-0.205671155,2.841293667,0.303956674,-101.874616806,179.71372463,2.840364556,101.889248676
399332861.955224,240509_233424182.jpg,486247.623,7039339.902,411.968,-0.205699903,2.840057517,0.299671334,-101.876296026,179.709706838,2.838266023,101.890912836
399332868.508728,240509_233430749.jpg,486247.622,7039339.901,411.967,-0.205691151,2.855218048,0.302278519,-101.87578626,179.709154952,2.853632943,101.89056036
399332875.062232,240509_233437315.jpg,486247.623,7039339.903,411.964,-0.205674839,2.848725194,0.305901937,-101.874834801,179.714083574,2.848031932,101.88954484
399332881.615736,240509_233443881.jpg,486247.622,7039339.904,411.962,-0.205715158,2.842526988,0.304380016,-101.877194871,179.713756422,2.841644896,101.891842763
399332886.460039,240509_233448735.jpg,486248.353,7039342.732,411.949,-0.37308821,3.759579718,1.239101005,-111.922416489,179.744691731,3.946618501,111.971782336
399332889.11744,240509_233451398.jpg,486252.5,7039350.046,412.052,-0.495271021,2.374279524,0.690800086,-119.705341535,179.424160251,2.40184962,119.731669333
399332891.411942,240509_233453697.jpg,486257.292,7039358.974,412.022,-0.363053804,0.684222937,-0.571183095,-111.29945013,179.221322658,0.428647372,111.2989725
399332897.965446,240509_233500263.jpg,486260.468,7039366.847,411.84,-0.358030214,-1.134872492,-0.805866964,-110.991759651,179.656134638,-1.348728192,110.995694614
399332939.629288,240509_233542010.jpg,486528.634,7039050.724,422.203,-0.297802161,2.226240978,4.325431998,107.385065554,175.213748254,-0.835322728,-107.335945291
399332940.114988,240509_233542497.jpg,486531.407,7039041.122,422.907,-0.307316166,2.485280253,4.710488138,107.968933628,174.760099346,-0.914691265,-107.908630414
399332940.600688,240509_233542983.jpg,486534.278,7039031.632,423.608,-0.325132203,2.817366022,4.709844635,109.049550974,174.636478236,-1.129902256,-108.986696331
399332941.096688,240509_233543480.jpg,486537.364,7039022.104,424.315,-0.358482815,2.448099241,4.508198369,111.085642367,174.920186277,-0.666490971,-111.01891404
399332941.602989,240509_233543987.jpg,486540.872,7039012.639,425.021,-0.403722892,2.566918119,4.702051878,113.908358174,174.668708937,-0.446259003,-113.823834378
399332942.109289,240509_233544495.jpg,486544.819,7039003.481,425.735,-0.45505241,2.792806449,4.691620044,117.180487207,174.558543242,-0.347355884,-117.082697974
399332942.626489,240509_233545013.jpg,486549.334,7038994.501,426.453,-0.509854565,2.86996087,4.984755971,120.799037386,174.256668303,0.079253211,-120.670274701
399332943.14369,240509_233545531.jpg,486554.352,7038985.88,427.181,-0.559476136,2.761228389,4.93929365,124.181961659,174.369773741,0.482214883,-124.039300895
399332943.66089,240509_233546049.jpg,486559.828,7038977.615,427.914,-0.610627407,2.326117599,4.870204023,127.815840166,174.731885519,1.139787661,-127.664614357
399332944.18839,240509_233546578.jpg,486565.917,7038969.636,428.657,-0.664180287,2.064476818,5.114917002,131.847175373,174.816160533,1.864712593,-131.670684537
399332944.715891,240509_233547106.jpg,486572.549,7038962.146,429.377,-0.715542541,2.444291157,4.699936002,135.913602022,174.978341934,1.665611572,-135.740421127
399332945.243391,240509_233547635.jpg,486579.652,7038955.187,430.113,-0.764387626,2.262323236,4.789230988,140.12307649,175.195656917,2.214682647,-139.935732018
399332945.770891,240509_233548163.jpg,486587.234,7038948.774,430.814,-0.807313719,2.405519136,4.741105367,144.141236031,175.274752373,2.422554157,-143.941890907
399332946.298392,240509_233548692.jpg,486595.264,7038942.882,431.479,-0.849772182,1.990176107,4.420785126,148.507235713,175.994307025,2.720908221,-148.335435909
399332946.825892,240509_233549221.jpg,486603.787,7038937.614,432.076,-0.886772547,2.332422507,4.098454178,152.805734077,176.053246002,2.570343653,-152.633907905
399332947.353392,240509_233549749.jpg,486612.771,7038932.935,432.605,-0.915659066,2.49579772,3.705906388,156.636559316,176.240329845,2.40375083,-156.477121368
399332947.870893,240509_233550268.jpg,486621.967,7038928.866,433.066,-0.938694474,2.424224696,3.717587326,160.239639002,176.462031437,2.670552533,-160.078689974
